acronym	title	location
AIBD 2020	International Conference on Artificial Intelligence and Big Data	Copenhagen, Denmark
CBIoT  2020	International Conference on Cloud, Big Data and IoT	Vancouver, Canada
MLT 2020	International Conference on Machine Learning & Trends 	Vancouver, Canada
IJDKP 2020	International Journal of Data Mining & Knowledge Management Process	N/A
BDAB 2020	International Conference on Big Data and Blockchain	Copenhagen, Denmark
BDML 2020	International Conference on Big Data and Machine Learning 	London, United Kingdom
IJU 2020	International Journal of Ubiquitous Computing	N/A
DMDB  2020	7th International Conference on Data Mining and  Database	Sydney, Australia
SEBD 2020	28th Symposium on Advanced Database Systems	Villasimius (Sardinia) Italy
DSDE--Ei Compendex and Scopus 2020	2020 The 3rd International Conference on Data Storage and Data Engineering (DSDE 2020)--Scopus, Ei Compendex	Barcelona, Spain
AIBC--Ei and Scopus 2020	2020 International Artificial Intelligence and Blockchain Conference (AIBC 2020)--Ei Compendex and Scopus	Nagoya, Japan
KDBD 2020	The 2nd International Workshop on Knowledge Discovery for Big Data	Calgary, Canada
DEEP-BDB   2020	The 2nd International Conference on Deep Learning, Big Data and Blockchain	Rome, Italy
DSM 2020	FIRST INTERNATIONAL SUMMER SCHOOL ON DATA SCIENCE FOR MOBILITY	Santorini, Greece
IEEE DSC 2020	5th IEEE International Conference on Data Science in Cyberspace 	Hong Kong, China
IJDMS  2020	International Journal of Database Management Systems	N/A
InWeS 2020	11th International Conference on Internet Engineering & Web Services	Sydney, Australia
CSEE 2020	The International Conference on Computer Science, Engineering and Education 2020	Barcelona, Spain
ODRE 2020	International Workshop on Open Distributed Real-time Embedded Systems	Nashville, Tennessee
ACM--BDE--Ei and Scopus 2020	ACM--2020 2nd International Conference on Big Data Engineering (BDE 2020)--Ei Compendex, Scopus	Shanghai, China
AIBT--Scopus, Ei Compendex 2020	2020 International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2020)--Scopus, Ei Compendex	Beijing, China
ICEEG--EI, Scopus 2020	2020 The 4th International Conference on E-commerce, E-Business and E-Government (ICEEG 2020)--EI Compendex, Scopus	Paris, France
ICISDM--ACM, Ei and Scopus 2020	ACM--2020 4th International Conference on Information System and Data Mining (ICISDM 2020)--EI Compendex, Scopus	Hawaii, USA
ICPAM--Ei Compendex and Scopus 2020	2020 9th International Conference on Pure and Applied Mathematics (ICPAM 2020)--EI Compendex, SCOPUS	Athens, Greece
ACM--ICBDM--Ei Compendex & Scopus 2020	ACM--2020 International Conference on Big Data in Management (ICBDM 2020)--Ei Compendex & Scopus	Manchester, UK
ICEEI--EI Compendex, Scopus 2020	2020 2nd International Conference on Engineering Education and Innovation (ICEEI 2020)--Ei Compendex, Scopus	Compiègne, France
DASPA 2020	The International Workshop on Data Stream Processing and Applications 	University of Cagliari, Italy
JCC-BD&ET 2020	8th Conference on Cloud Computing, Big Data & Emerging Topics (proceedings published by Springer CCIS)	La Plata, Bs As, Argentina
WBDE--JA, Scopus, EI (INSPEC, IET) 2020	2020 Workshop on Big Data Engineering (WBDE 2020)--JA, Scopus, EI (INSPEC, IET)	Da Nang, Vietnam
ICFIT--EI Compendex, Scopus 2020	2020 9th International Conference on Frontiers of Information Technology (ICFIT 2020)--EI Compendex, Scopus	Lyon, France
ICAISE--Ei and Scopus 2020	2020 The 2nd International Conference on Advanced Information Systems and Engineering (ICAISE 2020)--Ei compendex, scopus	Cairo, Egypt
ICDM 2020	Call for Short&Industry Papers / 20th Industrial Conference on Data Mining ICDM 2020	New York, USA
IEEE SmartSys 2020	5th IEEE Workshop on Smart Service Systems (SmartSys)	Bologna, Italy
ICBDC--ACM, Ei and Scopus 2020	ACM--2020 5th International Conference on Big Data and Computing (ICBDC 2020)--Ei Compendex, Scopus	Chengdu, China
AI ML Big Data Vision 2020	IEEE COINS  | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics | Speech Recognition | NLP 	Barcelona, Spain
ICAIBD--IEEE, Ei and Scopus 2020	IEEE--2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD 2020)--Ei Compendex, Scopus	Chengdu, China
IoTHealthcare 2020	IEEE COINS | IoT , AI, and Big Data for Healthcare Track	Barcelona, Spain
IEEE COINS 2020	 Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing | Security | Embedded Systems | Circuit and Systems | WSN | 5G	Barcelona, Spain
ACM--BIOTC--Ei and Scopus 2020	ACM--2020 2nd Blockchain and Internet of Things Conference (BIOTC 2020)--Ei Compendex, Scopus	Singapore
SiMLA 2020	2nd Workshop of Security in Machine Learning and its Applications	Rome, Italy
MLVis 2020	International Workshop on Machine Learning in Visualisation for Big Data 2020	Norrköping, Sweden
Data Science  2020	3nd Annual International Great Lakes Data Science Symposium	Erie, PA
AIOTT--ACM, Ei, Scopus 2020	ACM--2020 2nd Asia IoT Technologies Conference (AIOTT 2020)--EI Compendex, Scopus	Bangkok, Thailand
MIBDATACYBER 2020	CFC SPRINGER BOOK: MACHINE INTELLIGENCE AND BIG DATA ANALYTICS FOR CYBERSECURITY APPLICATIONS	N/A
ACM-DSIT 2020-Ei/Scopus 2020	2020 3rd International Conference on Data Science and Information Technology (DSIT 2020)	Melbourne, Australia
IWENC 2020	The Second International Workshop on Emerging Networks and Communications	Leuven, Belgium
IEEE-IIB 2020	IEEE-IIB: Call for PhD thesis abstracts	N/A
ACM-DMBD 2020-Ei/Scopus 2020	2020 3rd International Conference on Data Mining and Big Data (DMBD 2020)	Melbourne, Australia
ICBDB 2020	2020 2nd International Conference on Big Data and Blockchain(ICBDB 2020) 	Newcastle upon Tyne, UK
ACM-WCBD-Ei/Scopus 2020	2020 International Conference on Wireless Communication and Big Data  (WCBD 2020)	 Sanya, China
DATA 2020	9th International Conference on Data Science, Technology and Applications	Lieusaint - Paris, France
DeLTA 2020	1st International Conference on Deep Learning Theory and Applications	Lieusaint - Paris, France
BDAI--Ei and Scopus 2020	2020 3rd International Conference on Big Data and Artificial Intelligence (BDAI 2020)--EI Compendex, Scopus	Ocean University of China, Qingdao,China
ACM--HPCCT--EI Compendex, Scopus 2020	ACM--2020 4th High Performance Computing and Cluster Technologies Conference (HPCCT 2020)--EI Compendex, Scopus	Ocean University of China, Qingdao,China
ICICM--Ei Compendex & Scopus 2020	2020 10th International Conference on Information Communication and Management (ICICM 2020)--EI Compendex, Scopus	Paris, France
ACM--BDIOT--Ei and Scopus 2020	ACM--2020 the 4th International Conference on Big Data and Internet of Things (BDIOT 2020)--Ei compendex, scopus	Singapore
ICCBD--EI and Scopus 2020	2020 the 3rd International Conference on Computing and Big Data (ICCBD 2020)--EI Compendex, Scopus	aichung Software Park, Taichung, Taiwan
ICITS--EI Compendex, SCOPUS 2020	2020 The 8th International Conference on Information Technology and Science (ICITS 2020)--Scopus, Ei Compendex	Shanghai, China
WCSE--Ei and Scopus 2020	2020 the 10th International Workshop on Computer Science and Engineering (WCSE 2020)--Scopus, Ei Compendex	Shanghai, China
ICICSE--ACM, Ei, Scopus 2020	ACM--2020 International Conference on Internet Computing for Science and Engineering (ICICSE 2020)--Ei Compendex, Scopus	Maldives
CCIW 2020	2nd Workshop on Converged Computing Infrastructure	Stockholm, Sweden
ACM--ICCBDC--Ei and Scopus 2020	ACM--2020 4th International Conference on Cloud and Big Data Computing (ICCBDC 2020)--Ei Compendex, Scopus	Liverpool, United Kingdom
ICDPA--Scopus, Ei Compendex 2020	2020 6th International Conference on Data Processing and Applications (ICDPA 2020)--Scopus, Ei Compendex	Shanghai, China
EAI ADHIP 2020	ADHIP 2020 - 4th EAI International Conference on Advanced Hybrid Information Processing	Binzhou, People's Republic of China
DATA ANALYTICS 2020	The Ninth International Conference on Data Analytics	Nice, France
ICIME--SCOPUS, Ei 2020	2020 12th International Conference on Information Management and Engineering (ICIME 2020)--Ei Compendex, Scopus	Amsterdam, the Netherlands
BDDLIT 2020	Special session on Big data and Deep Learning for Intelligent Transportation (AISI2020), Springer	Cairo, Egypt
ITAS--EI Compendex, Scopus 2020	2020 Information Technology & Applications Symposium (ITAS 2020)--EI Compendex, Scopus	Xi'an, China
ICBDM--EI Compendex and Scopus 2020	2020 the 3rd International Conference on Big Data Management (ICBDM 2020)--SCOPUS, Ei Compendex	Shenzhen, China
CCBD--Ei Compendex & Scopus 2020	2020 The 8th International Conference on Cloud Computing and Big Data (CCBD 2020)--Ei Compendex & Scopus	Xi'an, China
Big Data & AI 2020	The 8th International Workshop on Big Data and Artificial Intelligence, 2020	Chongqing, China
CCIOT--ACM, EI Compendex, Scopus 2020	ACM--2020 5th International Conference on Cloud Computing and Internet of Things (CCIOT 2020)--Ei Compendex, Scopus	University of Ryukyu, Okinawa, Japan
ICENT--EI, Scopus 2020	2020 2nd International Conference on Emerging Networks Technologies (ICENT 2020)--Ei Compendex, Scopus	Okinawa, Japan
AI-BD-HS 2020	Artificial Intelligence and Big Data in Resources Poor Healthcare Systems (Springer Nature Book series)	N/A
SciSec 2020	The 3rd International Conference on Science of Cyber Security - SciSec 2020	Shanghai, China
ACM--ICBDT--EI, Scopus 2020	ACM--2020 3rd International Conference on Big Data Technologies (ICBDT 2020)--Scopus, EI Compendex	Qingdao, China
IDEAS 2020	IDEAS 2020 - 24th International Database Engineering & Applications Symposium	 Incheon
Call for Book Chapter 2020	 Deep Learning and Big Data for Intelligent Transportation: Enabling Technologies and Future Trends	N/A
EI/SCOPUS-ICVAT 2020	5th International Conference on Virtualization Application and Technology (ICVAT 2020)	Chengdu, China
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
IMMM 2020	The Tenth International Conference on Advances in Information Mining and Management	Rome, Italy
ACCSE 2020	The Fifth International Conference on Advances in Computation, Communications and Services	Rome, Italy
IN4PL 2020	Innovative Intelligent Industrial Production and Logistics	Budapest, Hungary
WITCOM  2020	The 9th International Congress of   Telematics & Computing	Puerto Vallarta, Jalisco, Mexico
BDL 2020	Workshop on BIG DATA & DEEP LEARNING in HIGH PERFORMANCE COMPUTING (IEEE Xplore)	Porto, Portugal
ACM--SPML--EI Compendex, Scopus 2020	ACM--2020 3rd International Conference on Signal Processing and Machine Learning (SPML 2020)--EI Compendex, Scopus	Beijing, China
EI-BDAI 2020	2020 International Conference on Industrial Applications of Big Data and Artificial Intelligence (BDAI 2020)	Shenzhen, China
EI/Scopus-WSCIS  2020	2020 International Workshop on Smart City and Intelligent Systems (WSCIS 2020)	Shenzhen, China
ICBICC 2020	2020 2nd International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2020)	Tokyo, Japan
ISCNC 2020 - Ei Compendex & Scopus 2020	2020 2nd International Symposium on Computing, Networking and Communications(ISCNC 2020) 	Tokyo, Japan
MMBD 2020	EI/SSCI-2020 International Conference on Modern Management based on Big Data 	Bijing, China
eBISS 2020	10th European Big Data Management & Analytics Summer School 	Cesena
ICDM 2020	20th IEEE International Conference on Data Mining	Sorrento, Italy
IDEAL 2020	IDEAL 2020 : Intelligent Data Engineering and Automated Learning	Guimarães, Portugal
DMAH 2020	Sixth International Workshop on Data Management and Analytics for Medicine and Healthcare	Tokyo, Japan
IoTMonetization 2020	Special Issue (Q1 | IEEE IoT Journal): AI‐driven IoT Data Monetization: A Transition From “Value Islands” To “Value Ecosystems”	N/A
Edge-Fog-Cloud -IoT 2020	Special issue (Q1 journal: Elsevier Information System): Emerging Trends and Challenges in Edge-Fog-Cloud Interplay in the Internet of Things (IoT)	N/A
MEDES 2020	The 12th International Conference on Management of Digital EcoSystems	Abu Dhabi, UAE
WBDC 2020	2020 2nd International Workshop on Big Data and Computing(WBDC 2020) 	Newcastle upon Tyne, UK
ACM Transactions on Sensor Networks 2020	Special Issue on Computational Intelligence in the Internet of Things	N/A
BDTA 2020	10th EAI International Conference on Big Data Technologies and Applications	Wuhan, People's Republic of China
ICCIP--Ei Compendex and Scopus 2020	2020 6th International Conference on Communication and Information Processing (ICCIP 2020)--EI Compendex, Scopus	University of Tokyo, Tokyo, Japan
EAI BDCC 2020	BDCC 2020 - 3rd EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Coimbatore, India
BDSIC--EI Compendex, Scopus 2020	2020 2nd International Conference on Big-data Service and Intelligent Computation (BDSIC 2020)--EI Compendex, Scopus	Xiamen University of Technology, Xiamen,
AICI 2021	The Second International Conference on Artificial Intelligence and Computational Intelligence (AICI 2021)	Hanoi, Vietnam
Big Data 2020	IEEE International Conference on Big Data	Atlanta, GA, USA
MESS 2020	Metaheuristics Summer School 2020 :: Learning & Optimization from Big Data	Catania, Italy
ICCCN 2020	International Conference on Computer Communications and Networks 	Honolulu, Hawaii, USA
ICDIS 2020	The 3rd International Conference on Data Intelligence and Security	South Padre Island, Texas, USA
IEEE ICCCBDA--Scopus and Ei 2020	2020 IEEE 5th International Conference on Cloud Computing and Big Data Analytics (IEEE ICCCBDA 2020)--Scopus and Ei Compendex	Chengdu, China
BIGML  2020	International conference on Big Data, Machine learning and Applications 	Vienna, Austria
ACM--ICGDA--Ei Compendex and Scopus 2020	ACM--2020 3rd International Conference on Geoinformatics and Data Analysis (ICGDA 2020)--EI Compendex, SCOPUS	Marseille, France
EI/SCOPUS-DIT 2020	2020 International Conference on Development of Internet of Things	Shanghai, China
MaSPECS 2020	Modeling and Simulation for Performance Evaluation of Computer-based Systems track of the 34th International ECMS Conference on Modelling and Simulation	"Wildau near Berlin, Germany	"
ISC 2020	18th Annual Industrial Simulation Conference	University College Dublin (UCD)
DATA 2020	AI and Big Data in Cancer: From Innovation to Impact	Boston, USA
ACDL 2020	3rd Advanced Course on Data Science & Machine Learning	Siena - Tuscany
bbuzz 2020	Berlin Buzzwords	Berlin, Germany
CBDCom 2020	The 6th IEEE International Conference on Cloud and Big Data Computing	Calgary, Canada
KES HCIS 2020	Real-time data processing in Industrial and IoT Applications	Split, Croatia
ETAB 2020	National Conference on Emerging Trends in AI and Big Data (ETAB-2020)	PICT, Pune, India
LOD 2020	The 6th International Conference on Machine Learning, Optimization & Data Science	Siena - Tuscany, Italy
DSIS 2020	 2nd ISSAT International Conference on Data Science and Intelligent Systems	Miami, Florida
BigData Conference 2020	2020 International Conference on Big Data Call for Papers- EI Compendex and Scopus	Honolulu, Hawaii, USA
SC-ML in IoT, BD and CPS 2020	Special Session on Soft Computing and Machine Learning in IoT, Big Data and Cyber Physical Systems	Burgos, Spain
Call for a CRC Press book chapter  2020	Big Data Analytics in Supply Chain Management: Theory and Applications	CRC Press (Taylor&Francis)
ACM--ICBDE--EI Compendex, Scopus 2020	ACM--2020 The 3rd International Conference on Big Data and Education (ICBDE 2020)--EI Compendex, Scopus	London, UK
Cognitive Computing 2020	Cognitive Computing with Big Data System over Secure Internet of Things	N/A
FEMIB 2020	2nd International Conference on Finance, Economics, Management and IT Business	Prague, Czech Republic
IoTBDS 2020	5th International Conference on Internet of Things, Big Data and Security	Prague, Czech Republic
 HCIS 2020	14th International Conference on Human-Centered Intelligent Systems (Formally known as IIMSS)	Split, Croatia
IEEE--ICIM--Ei Compendex, Scopus 2020	2020 the 6th International Conference on Information Management (ICIM 2020)--IEEE, Ei Compendex, Scopus	Imperial College London, London, UK
TempWeb 2020	The 10th Temporal Web Analytics Workshop 2020 (@ The Web Conference)	Taipei, Taiwan
IEEE ICALT 2020	20th IEEE International Conference on Advanced Learning Technologies	Tartu, Estonia
CloudTech 2020	The 5th International Conference on Cloud Computing  and Artificial Intelligence: Technologies and Applications	Marrakesh, Morocco
ICUIA 2020	The 2nd International Conference on Urban Intelligence and Applications	Taiyuan, China
CTCCC--Scopus and Ei 2020	2020 Communication Technologies and Cloud Computing Conference (CTCCC 2020)--Scopus and Ei Compendex	Cambridge University, UK
Flink Forward San Francisco 2020	Flink Forward San Francisco 2020	San Francisco
HPBD&IS 2020	The 2nd International Conference on High Performance Big Data and Intelligent Systems	Shenzhen, China
ICCDA--ACM, Ei, Scopus 2020	ACM--2020 The 4th International Conference on Compute and Data Analysis (ICCDA 2020)--Ei Compendex, Scopus	Silicon Valley, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	New York, USA
ACM--ICBCT--EI and Scopus 2020	ACM--2020 The 2nd International Conference on Blockchain Technology (ICBCT 2020)--EI Compendex and Scopus	Hilo, Hawaii, USA
DCPerf'20	DCPerf'20 Call For Papers	Beijing, China
MDM 2020	Master Data Management	Warsaw, Poland
IEEE--ICBDA--Ei Compendex and Scopus 2020	IEEE--2020 The 5th International Conference on Big Data Analytics (ICBDA 2020)--Ei Compendex, Scopus	Xiamen, China
BigVis 2020	3rd Intl.  Workshop on Big Data Visual Exploration and Analytics	Copenhagen, Denmark
Call for CRC Press Book Chapter 2020	Big Data Visualization: Recent Development and Challenges	United Kingdom
ITIOT--Ei, Scopus 2020	2020 The International Conference on Information Technology and Internet of Things (ITIOT 2020)--Ei Compendex, Scopus	Shanghai, China
IWSMAI 2020	Submission Deadline Extended [IWSMAI'20], International Workshop on Statistical Methods and Artificial Intelligence (IWSMAI 2020)	Warsaw, Poland
IEEE JCC 2020	IEEE INTERNATIONAL CONFERENCE ON JOINTCLOUD COMPUTING	OXFORD, UNITED KINGDOM
ICBDNT 2020	The 5th International Workshop on Big Data and Networks Technologies	Warsaw, Poland
DASFAA 2020	Database Systems for Advanced Applications	Seoguipo KAL Hotel, Jeju, Korea
IEEE BigDataService 2020	6th IEEE Intl. Conf. on Big Data Computing Services and Machine Learning Applications	Oxford, UK
BMDA 2020	Third International Workshop in Big Mobility Data Analytics 	Copenhagen
BDET--ACM, Ei Compendex and Scopus 2020	ACM--2020 2nd International Conference on Big Data Engineering and Technology (BDET 2020)--Ei Compendex, Scopus	Singapore
BigDataService 2020	6th IEEE Intl. Conf. on Big Data Computing Services and Machine Learning Applications	Oxford, UK
ICSCM--Ei, Scopus 2020	2020 International Conference on Supply Chain Management (ICSCM 2020)--Ei Compendex, Scopus	Hosei University, Tokyo, Japan
APIT--EI, Scopus 2020	2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
ACM--APIT--EI Compendex, Scopus 2020	ACM--2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
ESANN 2020	European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
ICBDSC--ACM, Ei, Scopus 2020	ACM--2020 The 3rd International Conference on Big Data and Smart Computing (ICBDSC 2020)--Ei Compendex, Scopus	Sydney, Australia
PerFoT 2019	2019 International Workshop on Pervasive Flow of Things (Co-located with IEEE PerCom 2019)	Kyoto, Japan
IoTDA 2019	Internet of Things Data Analytics	Los Angeles, USA
ACM--ICCDE--Ei, Scopus 2020	ACM--2020 the 6th International Conference on Computing and Data Engineering (ICCDE 2020)--Ei Compendex, Scopus	Sanya, China
ALLDATA 2020	The Sixth International Conference on Big Data, Small Data, Linked Data and Open Data	Lisbon, Portugal
NOBIDS 2019	5th Norwegian Big Data Symposium	Trondheim, Norway
Hand Book on Big Data Analytics 2020	IET Handbooks on Big Data Analytics	N/A
IoTBB 2019	2019 IEEE International Workshop on IoT Big Data and Blockchain	Los Angeles, USA
BDACCIP 2019	The 3rd International Workshop on Big Data Analytic for Cyber Crime Investigation and Prevention	Los Angeles, USA
UDS 2020	First International Conference on Urban Data Science	Chennai, India
ACM--AICCC--EI Compendex, Scopus 2019	ACM--2019 2nd Artificial Intelligence and Cloud Computing Conference (AICCC 2019)--EI Compendex, Scopus	Kobe University, Japan
BTSD  2019	Workshop on Big Data Tools and Use Cases for Innovative Scientific Discovery (BTSD) 2019 @IEEE BigData 2019 LA, USA	LA, USA
KomIS@ACM-SAC  2019	ACM SAC 2019 - KomIS track: Application of AI and Big Data Analytics 	Limassol, Cyprus
BMD 2019	The 2nd International Workshop on Big Media Dataset Construction, Management and Applications	Los Angeles, CA, USA
BigGraphs 2019	Sixth International Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Los Angeles, CA, USA
LegalAI 2019	The Third Annual Workshop on Applications of Artificial Intelligence in the Legal Industry	Los Angeles, CA
IEEE HMData 2019	Third IEEE Workshop on Human-in-the-loop Methods and Human-Machine Collaboration in Big Data	Los Angeles, CA
BdKCSE 2019	IEEE International Conference Big Data, Knowledge and Control Systems Engineering	Sofia, Bulgaria
BadAce 2019	The First International Workshop on Big Data Against Darknet Crimes (BadAce) 2019	Los Angeles, CA, USA
IEEE Workshop Big Data 2019	IEEE Big Data 2019: Big Data Predictive Maintenance Using Artificial Intelligence	Los Angeles, CA
PEASH 2019	6th Workshop on Performance Engineering with Advances in Software and Hardware for Big Data Sciences (PEASH)	Los Angeles, CA, USA
HPC-BOD 2019	IEEE International Workshop on High-Performance Computing and Analytics for Big Omics Data	San Diego, CA, USA
